accession	reference_type
EPI_ISL_18109026	Genetic
EPI_ISL_18948061	Genetic
EPI_ISL_19143577	Genetic
EPI_ISL_19638094	Genetic
EPI_ISL_19743515	Genetic
EPI_ISL_19905311	Genetic
EPI_ISL_19895692	Genetic
EPI_ISL_20069073	Genetic
EPI_ISL_20125470	Genetic
EPI_ISL_19701732	Genetic
EPI_ISL_19636442	Genetic
EPI_ISL_19870536	Genetic
EPI_ISL_19907462	Genetic
EPI_ISL_19870586	Genetic
EPI_ISL_20138626	Genetic
EPI_ISL_19905296	Genetic
EPI_ISL_19870620	Genetic
EPI_ISL_20138643	Genetic
EPI_ISL_19788829	Genetic
EPI_ISL_19895701	Genetic
EPI_ISL_20144960	Genetic
EPI_ISL_19870496	Genetic
EPI_ISL_19894931	Genetic
EPI_ISL_19898016	Genetic
EPI_ISL_19893770	Genetic
EPI_ISL_19059231	Genetic
EPI_ISL_19759788	Genetic
EPI_ISL_19377291	Genetic
EPI_ISL_19221417	Genetic
EPI_ISL_17559758	Genetic
EPI_ISL_18693474	Genetic
EPI_ISL_18074091	Genetic
EPI_ISL_19095514	Genetic
EPI_ISL_20138780	Genetic
EPI_ISL_19014980	Genetic
EPI_ISL_19655458	Genetic
EPI_ISL_20079418	Genetic
EPI_ISL_19834920	Genetic
EPI_ISL_19158076	Genetic
EPI_ISL_18012931	Genetic
EPI_ISL_19054628	Genetic
EPI_ISL_19685674	Genetic
EPI_ISL_19895652	Genetic
EPI_ISL_19678116	Genetic
EPI_ISL_19083747	Genetic
EPI_ISL_19354804	Genetic
EPI_ISL_19698206	Genetic
EPI_ISL_19757458	Genetic
EPI_ISL_19290697	Genetic
EPI_ISL_19642859	Genetic
EPI_ISL_19374194	Genetic
EPI_ISL_19338140	Genetic
EPI_ISL_19743520	Genetic
EPI_ISL_19607850	Genetic
EPI_ISL_19907457	Genetic
EPI_ISL_19754271	Genetic
EPI_ISL_19871897	Genetic
EPI_ISL_19879049	Genetic
EPI_ISL_19772454	Genetic
EPI_ISL_20073749	Genetic
EPI_ISL_19813183	Genetic
EPI_ISL_20073772	Genetic
EPI_ISL_19920085	Genetic
EPI_ISL_19905276	Genetic
EPI_ISL_19879499	Genetic
EPI_ISL_19902165	Genetic
EPI_ISL_19731427	Genetic
EPI_ISL_19867414	Genetic
EPI_ISL_20075486	Genetic
EPI_ISL_20085701	Genetic
EPI_ISL_19894914	Genetic
EPI_ISL_19752240	Genetic
EPI_ISL_19894898	Genetic
EPI_ISL_20129859	Genetic
EPI_ISL_19889693	Reagent
EPI_ISL_10626312	Reagent
EPI_ISL_16454711	Reagent
EPI_ISL_5332907	Reagent
EPI_ISL_10492323	Reagent
EPI_ISL_18167431	Reagent
EPI_ISL_6424991	Reagent
EPI_ISL_16522435	Reagent
EPI_ISL_13817451	Reagent
EPI_ISL_5419115	Reagent
EPI_ISL_3856706	Reagent
EPI_ISL_18812128	Reagent
EPI_ISL_18962735	Reagent
EPI_ISL_16830673	Reagent
EPI_ISL_18778030	Reagent
EPI_ISL_19843684	Reagent
EPI_ISL_3446792	Reagent
EPI_ISL_16899296	Reagent
EPI_ISL_16830710	Reagent
EPI_ISL_16968058	Reagent
EPI_ISL_20099416	Reagent
EPI_ISL_16732431	Reagent
EPI_ISL_14212829	Reagent
EPI_ISL_19676631	Reagent
EPI_ISL_10492354	Reagent
EPI_ISL_20091227	Reagent
EPI_ISL_20077097	Reagent
EPI_ISL_18952209	Reagent
EPI_ISL_4169531	Reagent
EPI_ISL_401854	Reagent
EPI_ISL_19169347	Reagent
EPI_ISL_18160846	Reagent
EPI_ISL_20046928	Reagent
EPI_ISL_19586790	Reagent
EPI_ISL_13983276	Reagent
EPI_ISL_18862945	Reagent
EPI_ISL_20071432	Reagent
EPI_ISL_18886145	Reagent
EPI_ISL_19338038	Reagent
EPI_ISL_20071371	Reagent
EPI_ISL_5419111	Reagent
EPI_ISL_20077099	Reagent
EPI_ISL_20099613	Reagent
EPI_ISL_14057715	Reagent
EPI_ISL_3856678	Reagent
EPI_ISL_10492353	Reagent
EPI_ISL_19377300	Reagent
EPI_ISL_7745710	Reagent
EPI_ISL_18160845	Reagent
EPI_ISL_20046941	Reagent
EPI_ISL_17608898	Reagent
EPI_ISL_13984050	Reagent
EPI_ISL_19726511	Reagent
EPI_ISL_14862036	Reagent
EPI_ISL_19685476	Reagent
EPI_ISL_16830692	Reagent
EPI_ISL_5332900	Reagent
EPI_ISL_20077098	Reagent
EPI_ISL_19895658	Reagent
EPI_ISL_20099446	Reagent
EPI_ISL_19338146	Reagent
EPI_ISL_19676636	Reagent
EPI_ISL_13983273	Reagent
EPI_ISL_18234622	Reagent
EPI_ISL_18044349	Reagent
EPI_ISL_19726484	Reagent
EPI_ISL_7745707	Reagent
EPI_ISL_19298051	Reagent
EPI_ISL_20123785	Reagent
EPI_ISL_14952381	Reagent
EPI_ISL_18604324	Reagent
EPI_ISL_19644008	Reagent
EPI_ISL_19338390	Reagent
EPI_ISL_17832069	Reagent
EPI_ISL_18886143	Reagent
EPI_ISL_18037429	Reagent
EPI_ISL_18069127	Reagent
EPI_ISL_18604370	Reagent
EPI_ISL_17789915	Reagent
EPI_ISL_16093972	Reagent
EPI_ISL_19218253	Reagent
EPI_ISL_6307006	Reagent
EPI_ISL_20077404	Reagent
EPI_ISL_19377297	Reagent
EPI_ISL_18486170	Reagent
EPI_ISL_19586794	Reagent
EPI_ISL_18886147	Reagent
EPI_ISL_20046922	Reagent
EPI_ISL_18485002	Reagent
EPI_ISL_5332901	Reagent
EPI_ISL_18012880	Reagent
EPI_ISL_3856664	Reagent
